2,0.000,0.285,-0.054,0.128
2,0.100,0.272,-0.059,0.110
2,0.200,0.258,-0.062,0.093
2,0.300,0.244,-0.066,0.076
2,0.400,0.230,-0.069,0.061
2,0.500,0.215,-0.071,0.045
2,0.600,0.200,-0.074,0.031
2,0.700,0.185,-0.076,0.017
2,0.800,0.169,-0.078,0.003
2,0.900,0.153,-0.079,-0.010
2,1.000,0.137,-0.080,-0.022
2,1.100,0.120,-0.081,-0.034
2,1.200,0.104,-0.082,-0.045
2,1.300,0.086,-0.083,-0.056
2,1.400,0.069,-0.083,-0.066
2,1.500,0.051,-0.083,-0.076
2,1.600,0.033,-0.083,-0.085
2,1.700,0.015,-0.083,-0.094
2,1.800,-0.004,-0.083,-0.102
2,1.900,-0.023,-0.083,-0.110
2,2.000,-0.043,-0.082,-0.117
2,2.100,-0.062,-0.082,-0.124
2,2.200,-0.082,-0.081,-0.130
2,2.300,-0.102,-0.081,-0.136
2,2.400,-0.123,-0.080,-0.142
2,2.500,-0.143,-0.079,-0.147
2,2.600,-0.164,-0.079,-0.152
2,2.700,-0.185,-0.078,-0.156
2,2.800,-0.207,-0.078,-0.160
2,2.900,-0.228,-0.077,-0.163
2,3.000,-0.250,-0.076,-0.166
2,3.100,-0.271,-0.076,-0.169
2,3.200,-0.293,-0.075,-0.171
2,3.300,-0.315,-0.075,-0.172
2,3.400,-0.338,-0.075,-0.174
2,3.500,-0.360,-0.075,-0.175
2,3.600,-0.382,-0.075,-0.175
2,3.700,-0.404,-0.074,-0.175
2,3.800,-0.426,-0.075,-0.175
2,3.900,-0.448,-0.075,-0.175
2,4.000,-0.471,-0.075,-0.173
2,4.100,-0.469,-0.101,-0.199
2,4.200,-0.465,-0.128,-0.224
2,4.300,-0.458,-0.154,-0.248
2,4.400,-0.449,-0.180,-0.272
2,4.500,-0.437,-0.205,-0.295
2,4.600,-0.422,-0.230,-0.317
2,4.700,-0.405,-0.254,-0.338
2,4.800,-0.386,-0.277,-0.358
2,4.900,-0.364,-0.299,-0.376
2,5.000,-0.341,-0.320,-0.392
2,5.100,-0.315,-0.339,-0.406
2,5.200,-0.288,-0.357,-0.417
2,5.300,-0.260,-0.374,-0.427
2,5.400,-0.230,-0.388,-0.434
2,5.500,-0.199,-0.401,-0.438
2,5.600,-0.168,-0.411,-0.439
2,5.700,-0.136,-0.419,-0.437
2,5.800,-0.105,-0.425,-0.433
2,5.900,-0.073,-0.429,-0.425
2,6.000,-0.043,-0.430,-0.414
2,6.100,-0.012,-0.428,-0.401
2,6.200,0.017,-0.424,-0.385
2,6.300,0.045,-0.417,-0.366
2,6.400,0.072,-0.408,-0.344
2,6.500,0.098,-0.397,-0.320
2,6.600,0.122,-0.383,-0.295
2,6.700,0.144,-0.367,-0.267
2,6.800,0.165,-0.349,-0.238
2,6.900,0.185,-0.330,-0.208
2,7.000,0.202,-0.309,-0.177
2,7.100,0.218,-0.286,-0.145
2,7.200,0.232,-0.263,-0.113
2,7.300,0.245,-0.238,-0.080
2,7.400,0.255,-0.213,-0.048
2,7.500,0.265,-0.187,-0.016
2,7.600,0.272,-0.160,0.015
2,7.700,0.278,-0.134,0.045
2,7.800,0.282,-0.107,0.074
2,7.900,0.284,-0.081,0.102
2,8.000,0.285,-0.054,0.128
2,0.100,0.272,-0.059,0.110
2,0.200,0.258,-0.062,0.093
2,0.300,0.244,-0.066,0.076
2,0.400,0.230,-0.069,0.061
2,0.500,0.215,-0.071,0.045
2,0.600,0.200,-0.074,0.031
2,0.700,0.185,-0.076,0.017
2,0.800,0.169,-0.078,0.003
2,0.900,0.153,-0.079,-0.010
2,1.000,0.137,-0.080,-0.022
2,1.100,0.120,-0.081,-0.034
2,1.200,0.104,-0.082,-0.045
2,1.300,0.086,-0.083,-0.056
2,1.400,0.069,-0.083,-0.066
2,1.500,0.051,-0.083,-0.076
2,1.600,0.033,-0.083,-0.085
2,1.700,0.015,-0.083,-0.094
2,1.800,-0.004,-0.083,-0.102
2,1.900,-0.023,-0.083,-0.110
2,2.000,-0.043,-0.082,-0.117
2,2.100,-0.062,-0.082,-0.124
2,2.200,-0.082,-0.081,-0.130
2,2.300,-0.102,-0.081,-0.136
2,2.400,-0.123,-0.080,-0.142
2,2.500,-0.143,-0.079,-0.147
2,2.600,-0.164,-0.079,-0.152
2,2.700,-0.185,-0.078,-0.156
2,2.800,-0.207,-0.078,-0.160
2,2.900,-0.228,-0.077,-0.163
2,3.000,-0.250,-0.076,-0.166
2,3.100,-0.271,-0.076,-0.169
2,3.200,-0.293,-0.075,-0.171
2,3.300,-0.315,-0.075,-0.172
2,3.400,-0.338,-0.075,-0.174
2,3.500,-0.360,-0.075,-0.175
2,3.600,-0.382,-0.075,-0.175
2,3.700,-0.404,-0.074,-0.175
2,3.800,-0.426,-0.075,-0.175
2,3.900,-0.448,-0.075,-0.175
2,4.000,-0.471,-0.075,-0.173
2,4.100,-0.469,-0.101,-0.199
2,4.200,-0.465,-0.128,-0.224
2,4.300,-0.458,-0.154,-0.248
2,4.400,-0.449,-0.180,-0.272
2,4.500,-0.437,-0.205,-0.295
2,4.600,-0.422,-0.230,-0.317
2,4.700,-0.405,-0.254,-0.338
2,4.800,-0.386,-0.277,-0.358
2,4.900,-0.364,-0.299,-0.376
2,5.000,-0.341,-0.320,-0.392
2,5.100,-0.315,-0.339,-0.406
2,5.200,-0.288,-0.357,-0.417
2,5.300,-0.260,-0.374,-0.427
2,5.400,-0.230,-0.388,-0.434
2,5.500,-0.199,-0.401,-0.438
2,5.600,-0.168,-0.411,-0.439
2,5.700,-0.136,-0.419,-0.437
2,5.800,-0.105,-0.425,-0.433
2,5.900,-0.073,-0.429,-0.425
2,6.000,-0.043,-0.430,-0.414
2,6.100,-0.012,-0.428,-0.401
2,6.200,0.017,-0.424,-0.385
2,6.300,0.045,-0.417,-0.366
